date,rainfall,humidity,temperature
2023-07-01,0.2,68,24.5
2023-07-02,9.2,66,24.2
2023-07-03,5.8,81,22.1
2023-07-04,19.4,81,22.4
2023-07-05,22.2,78,21.8
2023-07-06,10.6,80,21.8
2023-07-07,5.8,79,21.8
2023-07-08,1.7,79,22.1
2023-07-09,2.2,71,23.1
2023-07-10,3.5,69,23.7
2023-07-11,9.35,82,22.4
2023-07-12,1.3,74,23.5
2023-07-13,5.48,76,23.6
2023-07-14,1.0,75,23.5
2023-07-15,1.2,71,23.9
2023-07-16,0.5,68,23.9
2023-07-17,1.0,68,24.0
2023-07-18,0.5,65,23.9
2023-07-19,1.6,70,23.1
2023-07-20,1.8,68,23.3
2023-07-21,0.9,67,24.0
2023-07-22,3.9,67,23.3
2023-07-23,14.1,73,22.5
2023-07-24,29.0,77,21.8
2023-07-25,20.6,86,20.6
2023-07-26,16.2,88,20.0
2023-07-27,2.7,78,21.9
2023-07-28,0.3,75,22.4
2023-07-29,0.6,69,23.5
2023-07-30,0.0,67,23.8
2023-07-31,0.1,70,24.0
2023-08-01,0.1,72,23.5
2023-08-02,0.1,70,23.7
2023-08-03,0.2,68,23.9
2023-08-04,1.2,68,23.7
2023-08-05,0.7,65,23.9
2023-08-06,0.5,63,24.4
2023-08-07,0.4,65,24.3
2023-08-08,2.2,63,23.9
2023-08-09,0.6,65,24.7
2023-08-10,1.2,63,25.0
2023-08-11,10.3,67,24.6
2023-08-12,0.3,65,25.1
2023-08-13,0.1,63,24.7
2023-08-14,0.3,58,25.1
2023-08-15,0.0,59,25.1
2023-08-16,0.0,55,25.1
2023-08-17,0.0,61,25.3
2023-08-18,0.3,64,24.4
2023-08-19,2.2,66,23.6
2023-08-20,0.3,68,23.9
2023-08-21,0.0,59,25.7
2023-08-22,0.6,60,25.2
2023-08-23,0.0,60,25.9
2023-08-24,0.0,59,25.6
2023-08-25,0.1,60,25.8
2023-08-26,65.3,72,24.3
2023-08-27,1.5,64,24.9
2023-08-28,1.7,62,25.5
2023-08-29,1.0,62,25.2
2023-08-30,1.7,63,25.2
2023-08-31,3.6,63,25.6
2023-09-01,92.8,74,24.4
2023-09-02,56.8,82,23.0
2023-09-03,8.9,75,23.4
2023-09-04,2.6,79,22.0
2023-09-05,9.7,85,20.5
2023-09-06,3.1,76,23.3
2023-09-07,0.8,75,23.2
2023-09-08,1.2,75,23.1
2023-09-09,0.5,77,22.7
2023-09-10,0.4,76,22.7
2023-09-11,1.8,71,22.9
2023-09-12,0.0,73,23.2
2023-09-13,0.0,73,23.0
2023-09-14,0.0,72,23.1
2023-09-15,0.0,70,23.6
2023-09-16,0.0,82,21.6
2023-09-17,1.0,74,23.1
2023-09-18,1.0,74,23.2
2023-09-19,3.26,75,23.5
2023-09-20,2.55,74,23.6
2023-09-21,1.15,76,23.5
2023-09-22,7.8,77,23.5
2023-09-23,19.26,79,23.5
2023-09-24,11.11,79,23.3
2023-09-25,4.07,77,23.5
2023-09-26,3.58,75,23.8
2023-09-27,3.7,76,23.4
2023-09-28,5.45,82,22.7
2023-09-29,1.57,81,22.3
2023-09-30,0.58,77,22.4
2023-10-01,0.17,76,22.7
2023-10-02,0.4,79,22.3
2023-10-03,1.35,76,22.9
2023-10-04,0.01,67,23.8
2023-10-05,0.0,61,24.1
2023-10-06,2.62,69,23.8
2023-10-07,9.49,77,23.6
2023-10-08,7.41,67,25.4
2023-10-09,2.94,73,23.8
2023-10-10,0.0,61,25.1
2023-10-11,10.73,77,23.8
2023-10-12,0.55,67,23.7
2023-10-13,0.0,59,23.6
2023-10-14,0.0,58,23.8
2023-10-15,0.22,62,24.1
2023-10-16,3.02,69,23.6
2023-10-17,4.84,76,23.4
2023-10-18,0.04,61,24.0
2023-10-19,0.09,63,24.2
2023-10-20,0.47,66,23.7
2023-10-21,0.08,65,23.8
2023-10-22,0.3,64,24.3
2023-10-23,0.08,51,23.6
2023-10-24,0.0,44,23.2
2023-10-25,0.0,42,23.2
2023-10-26,0.0,51,23.5
2023-10-27,0.02,62,23.6
2023-10-28,1.24,72,23.6
2023-10-29,5.59,75,23.2
2023-10-30,2.81,81,22.2
2023-10-31,2.5,81,22.2
2023-11-01,0.25,72,23.1
2023-11-02,16.82,78,22.7
2023-11-03,15.03,82,23.1
2023-11-04,21.07,84,22.7
2023-11-05,7.0,86,22.3
2023-11-06,18.46,86,22.2
2023-11-07,22.52,88,22.0
2023-11-08,14.96,87,21.9
