soilmiosture,temperature,note,status,class
377,29.1,0,0,Very Dry
379,29.08,0,0,Very Dry
376,29.06,0,0,Very Dry
377,29.05,0,0,Very Dry
379,29.03,0,0,Very Dry
376,29.02,0,0,Very Dry
380,29,0,0,Very Dry
380,28.99,0,0,Very Dry
380,28.97,0,0,Very Dry
379,28.96,0,0,Very Dry
379,28.95,0,0,Very Dry
378,28.94,0,0,Very Dry
379,28.92,0,0,Very Dry
382,28.91,0,0,Very Dry
380,28.9,0,0,Very Dry
379,28.89,0,0,Very Dry
381,28.88,0,0,Very Dry
376,28.87,0,0,Very Dry
377,28.86,0,0,Very Dry
381,28.85,0,0,Very Dry
380,28.83,0,0,Very Dry
381,28.82,0,0,Very Dry
384,28.81,0,0,Very Dry
383,28.8,0,0,Very Dry
385,28.79,0,0,Very Dry
383,28.79,0,0,Very Dry
382,28.78,0,0,Very Dry
383,28.77,0,0,Very Dry
382,28.77,0,0,Very Dry
381,28.76,0,0,Very Dry
382,28.75,0,0,Very Dry
380,28.75,0,0,Very Dry
383,28.74,0,0,Very Dry
389,28.74,0,0,Very Dry
320,28.73,1,0,Dry
284,28.73,1,0,Dry
250,28.82,2,1,Wet
205,29.08,2,1,Wet
188,29.4,3,1,Very Wet
183,29.7,3,1,Very Wet
181,29.92,3,1,Very Wet
180,30.09,3,1,Very Wet
180,30.21,3,1,Very Wet
179,30.3,3,1,Very Wet
177,30.36,3,1,Very Wet
178,30.4,3,1,Very Wet
177,30.42,3,1,Very Wet
177,30.43,3,1,Very Wet
176,30.43,3,1,Very Wet
178,30.43,3,1,Very Wet
176,30.41,3,1,Very Wet
177,30.39,3,1,Very Wet
177,30.37,3,1,Very Wet
176,30.34,3,1,Very Wet
176,30.31,3,1,Very Wet
176,30.28,3,1,Very Wet
176,30.24,3,1,Very Wet
176,30.2,3,1,Very Wet
175,30.17,3,1,Very Wet
175,30.13,3,1,Very Wet
176,30.12,3,1,Very Wet
174,30.08,3,1,Very Wet
175,30.05,3,1,Very Wet
174,30.01,3,1,Very Wet
176,29.98,3,1,Very Wet
175,29.94,3,1,Very Wet
174,29.91,3,1,Very Wet
175,29.88,3,1,Very Wet
175,29.84,3,1,Very Wet
175,29.81,3,1,Very Wet
174,29.78,3,1,Very Wet
176,29.75,3,1,Very Wet
174,29.73,3,1,Very Wet
173,29.7,3,1,Very Wet
175,29.67,3,1,Very Wet
174,29.64,3,1,Very Wet
174,29.61,3,1,Very Wet
175,29.59,3,1,Very Wet
174,29.56,3,1,Very Wet
176,29.53,3,1,Very Wet
174,29.51,3,1,Very Wet
173,29.48,3,1,Very Wet
172,29.46,3,1,Very Wet
164,29.43,3,1,Very Wet
157,29.42,3,1,Very Wet
157,29.4,3,1,Very Wet
172,29.38,3,1,Very Wet
164,29.36,3,1,Very Wet
182,29.35,3,1,Very Wet
172,29.33,3,1,Very Wet
167,29.31,3,1,Very Wet
456,29.3,0,0,Very Dry
454,29.29,0,0,Very Dry
376,29.27,0,0,Very Dry
369,29.26,0,0,Very Dry
368,29.25,0,0,Very Dry
367,29.24,0,0,Very Dry
368,29.23,0,0,Very Dry
368,29.21,0,0,Very Dry
364,29.2,0,0,Very Dry
363,29.18,0,0,Very Dry
363,29.17,0,0,Very Dry
363,29.16,0,0,Very Dry
360,29.14,0,0,Very Dry
363,29.13,0,0,Very Dry
362,29.12,0,0,Very Dry
364,29.1,0,0,Very Dry
365,29.1,0,0,Very Dry
364,29.08,0,0,Very Dry
365,29.06,0,0,Very Dry
368,29.05,0,0,Very Dry
362,29.04,0,0,Very Dry
363,29.02,0,0,Very Dry
363,29,0,0,Very Dry
362,28.99,0,0,Very Dry
363,28.98,0,0,Very Dry
362,28.96,0,0,Very Dry
