date,temperature,rainfall,humidity
2023-07-01,24.5,0.2,68
2023-07-02,24.2,9.2,66
2023-07-03,22.1,5.8,81
2023-07-04,22.4,19.4,81
2023-07-05,21.8,22.2,78
2023-07-06,21.8,10.6,80
2023-07-07,21.8,5.8,79
2023-07-08,22.1,1.7,79
2023-07-09,23.1,2.2,71
2023-07-10,23.7,3.5,69
2023-07-11,22.4,9.35,82
2023-07-12,23.5,1.3,74
2023-07-13,23.6,5.48,76
2023-07-14,23.5,1,75
2023-07-15,23.9,1.2,71
2023-07-16,23.9,0.5,68
2023-07-17,24,1,68
2023-07-18,23.9,0.5,65
2023-07-19,23.1,1.6,70
2023-07-20,23.3,1.8,68
2023-07-21,24,0.9,67
2023-07-22,23.3,3.9,67
2023-07-23,22.5,14.1,73
2023-07-24,21.8,29,77
2023-07-25,20.6,20.6,86
2023-07-26,20,16.2,88
2023-07-27,21.9,2.7,78
2023-07-28,22.4,0.3,75
2023-07-29,23.5,0.6,69
2023-07-30,23.8,0,67
2023-07-31,24,0.1,70
2023-08-01,23.5,0.1,72
2023-08-02,23.7,0.1,70
2023-08-03,23.9,0.2,68
2023-08-04,23.7,1.2,68
2023-08-05,23.9,0.7,65
2023-08-06,24.4,0.5,63
2023-08-07,24.3,0.4,65
2023-08-08,23.9,2.2,63
2023-08-09,24.7,0.6,65
2023-08-10,25,1.2,63
2023-08-11,24.6,10.3,67
2023-08-12,25.1,0.3,65
2023-08-13,24.7,0.1,63
2023-08-14,25.1,0.3,58
2023-08-15,25.1,0,59
2023-08-16,25.1,0,55
2023-08-17,25.3,0,61
2023-08-18,24.4,0.3,64
2023-08-19,23.6,2.2,66
2023-08-20,23.9,0.3,68
2023-08-21,25.7,0,59
2023-08-22,25.2,0.6,60
2023-08-23,25.9,0,60
2023-08-24,25.6,0,59
2023-08-25,25.8,0.1,60
2023-08-26,24.3,65.3,72
2023-08-27,24.9,1.5,64
2023-08-28,25.5,1.7,62
2023-08-29,25.2,1,62
2023-08-30,25.2,1.7,63
2023-08-31,25.6,3.6,63
2023-09-01,24.4,92.8,74
2023-09-02,23,56.8,82
2023-09-03,23.4,8.9,75
2023-09-04,22,2.6,79
2023-09-05,20.5,9.7,85
2023-09-06,23.3,3.1,76
2023-09-07,23.2,0.8,75
2023-09-08,23.1,1.2,75
2023-09-09,22.7,0.5,77
2023-09-10,22.7,0.4,76
2023-09-11,22.9,1.8,71
2023-09-12,23.2,0,73
2023-09-13,23,0,73
2023-09-14,23.1,0,72
2023-09-15,23.6,0,70
2023-09-16,21.6,0,82
2023-09-17,23.1,1,74
2023-09-18,23.2,1,74
2023-09-19,23.5,3.26,75
2023-09-20,23.6,2.55,74
2023-09-21,23.5,1.15,76
2023-09-22,23.5,7.8,77
2023-09-23,23.5,19.26,79
2023-09-24,23.3,11.11,79
2023-09-25,23.5,4.07,77
2023-09-26,23.8,3.58,75
2023-09-27,23.4,3.7,76
2023-09-28,22.7,5.45,82
2023-09-29,22.3,1.57,81
2023-09-30,22.4,0.58,77
2023-10-01,22.7,0.17,76
2023-10-02,22.3,0.4,79
2023-10-03,22.9,1.35,76
2023-10-04,23.8,0.01,67
2023-10-05,24.1,0,61
2023-10-06,23.8,2.62,69
2023-10-07,23.6,9.49,77
2023-10-08,25.4,7.41,67
2023-10-09,23.8,2.94,73
2023-10-10,25.1,0,61
2023-10-11,23.8,10.73,77
2023-10-12,23.7,0.55,67
2023-10-13,23.6,0,59
2023-10-14,23.8,0,58
2023-10-15,24.1,0.22,62
2023-10-16,23.6,3.02,69
2023-10-17,23.4,4.84,76
2023-10-18,24,0.04,61
2023-10-19,24.2,0.09,63
2023-10-20,23.7,0.47,66
2023-10-21,23.8,0.08,65
2023-10-22,24.3,0.3,64
2023-10-23,23.6,0.08,51
2023-10-24,23.2,0,44
2023-10-25,23.2,0,42
2023-10-26,23.5,0,51
2023-10-27,23.6,0.02,62
2023-10-28,23.6,1.24,72
2023-10-29,23.2,5.59,75
2023-10-30,22.2,2.81,81
2023-10-31,22.2,2.5,81
2023-11-01,23.1,0.25,72
2023-11-02,22.7,16.82,78
2023-11-03,23.1,15.03,82
2023-11-04,22.7,21.07,84
2023-11-05,22.3,7,86
2023-11-06,22.2,18.46,86
2023-11-07,22,22.52,88
2023-11-08,21.9,14.96,87
2023-11-09,22.4,7.11,85
2023-11-10,21.6,4.43,86
2023-11-11,21.4,0,71
2023-11-12,21,0,69
2023-11-13,21,0,72
2023-11-14,19.2,0.04,81
2023-11-15,21.3,0,74
2023-11-16,22.9,0,63
2023-11-17,24.2,0.07,64
2023-11-18,24.1,0.22,69
2023-11-19,22.3,0,68
2023-11-20,22.4,0,66
2023-11-21,23.3,0.16,70
2023-11-22,22.7,8.64,82
2023-11-23,22.2,7.4,85
2023-11-24,22.4,0.23,79
2023-11-25,21.8,4.3,82
2023-11-26,21.9,0.02,76
2023-11-27,22.2,0.95,76
2023-11-28,22.1,0.14,77
2023-11-29,22.1,1.59,79
2023-11-30,21.3,4.81,88
2023-12-01,22,12.91,82
2023-12-02,21.8,0.1,79
2023-12-03,21.3,0.48,82
2023-12-04,20.5,0.32,89
2023-12-05,22.5,0.32,76
2023-12-06,22.7,0.02,68
2023-12-07,24.6,1.04,65
2023-12-08,23,0.83,78
2023-12-09,22.4,3.4,82
2023-12-10,22.6,0.2,77
2023-12-11,22.3,0.59,77
2023-12-12,21.9,0.09,71
2023-12-13,21.1,0,66
2023-12-14,20.4,0.01,72
2023-12-15,20.7,0.16,79
2023-12-16,22.3,0.61,77
2023-12-17,21,0.04,77
2023-12-18,21.3,0.01,74
2023-12-19,20.4,0,72
2023-12-20,20.6,0,72
2023-12-21,21.3,0,70
2023-12-22,21.2,0,67
2023-12-23,20.8,0,60
2023-12-24,20.6,0,67
2023-12-25,21.8,0.01,74
2023-12-26,21.4,0,62
2023-12-27,20.7,0,62
2023-12-28,21.4,0.04,74
2023-12-29,21.4,0.03,75
2023-12-30,20.7,0,69
2023-12-31,21.3,0,61
2024-01-01,21.2,0,63
2024-01-02,21.1,0,58
2024-01-03,21.2,0,60
2024-01-04,20.9,0.25,69
2024-01-05,20.6,0.08,76
2024-01-06,21.5,0.01,73
2024-01-07,20.4,0.38,73
2024-01-08,20.3,0.1,81
2024-01-09,20.9,0.28,80
2024-01-10,21.6,0,69
2024-01-11,21.7,0,64
2024-01-12,21.6,0,61
2024-01-13,22.4,0,65
2024-01-14,22.7,0,59
2024-01-15,22.6,0,56
2024-01-16,22.8,0,54
2024-01-17,22.3,0,57
2024-01-18,22.6,0,55
2024-01-19,23.5,0,55
2024-01-20,23.6,0,60
2024-01-21,23.7,0,61
2024-01-22,23.8,0,57
2024-01-23,24,0,58
2024-01-24,23.5,0.19,63
2024-01-25,23.4,0,59
2024-01-26,22.2,0,57
2024-01-27,21.6,0,61
2024-01-28,22.3,0.01,63
2024-01-29,22.2,0,57
2024-01-30,22.5,0,49
2024-01-31,24,0,53
2024-02-01,24.4,0,45
2024-02-02,24.8,0,50
2024-02-03,24.9,0.26,63
2024-02-04,24.3,0,54
2024-02-05,24.6,0,48
