time,rainfall,humidity,temperature
2023-06-29 00:00,0.0,83,21.0
2023-06-29 01:00,0.0,85,20.6
2023-06-29 02:00,0.0,86,20.4
2023-06-29 03:00,0.0,87,20.3
2023-06-29 04:00,0.0,88,20.0
2023-06-29 05:00,0.0,89,19.8
2023-06-29 06:00,0.0,89,19.8
2023-06-29 07:00,0.0,82,20.8
2023-06-29 08:00,0.0,72,22.6
2023-06-29 09:00,0.0,63,24.5
2023-06-29 10:00,0.0,56,26.2
2023-06-29 11:00,0.1,51,26.4
2023-06-29 12:00,0.1,48,27.8
2023-06-29 13:00,0.0,47,27.8
2023-06-29 14:00,0.1,52,28.0
2023-06-29 15:00,0.4,54,27.8
2023-06-29 16:00,5.9,52,26.0
2023-06-29 17:00,5.8,58,24.5
2023-06-29 18:00,0.3,62,23.8
2023-06-29 19:00,0.1,65,23.4
2023-06-29 20:00,0.0,69,22.6
2023-06-29 21:00,0.0,72,23.0
2023-06-29 22:00,0.1,75,22.5
2023-06-29 23:00,0.3,78,22.1
2023-06-30 00:00,0.2,74,21.4
2023-06-30 01:00,0.1,76,21.0
2023-06-30 02:00,0.0,78,20.7
2023-06-30 03:00,0.1,80,21.5
2023-06-30 04:00,0.0,81,21.3
2023-06-30 05:00,0.0,83,21.1
2023-06-30 06:00,0.0,82,21.3
2023-06-30 07:00,0.0,79,21.8
2023-06-30 08:00,0.1,72,23.3
2023-06-30 09:00,0.0,64,25.1
2023-06-30 10:00,0.1,60,25.9
2023-06-30 11:00,0.0,61,26.4
2023-06-30 12:00,0.0,55,27.6
2023-06-30 13:00,0.0,48,29.3
2023-06-30 14:00,0.0,46,29.7
2023-06-30 15:00,0.1,50,28.2
2023-06-30 16:00,0.1,51,27.7
2023-06-30 17:00,0.0,53,27.0
2023-06-30 18:00,0.0,61,25.3
2023-06-30 19:00,0.1,67,25.0
2023-06-30 20:00,0.0,70,24.0
2023-06-30 21:00,0.0,69,24.3
2023-06-30 22:00,0.0,71,24.1
2023-06-30 23:00,0.0,75,23.4
2023-07-01 00:00,0.0,82,22.2
2023-07-01 01:00,0.0,84,21.8
2023-07-01 02:00,0.0,84,21.4
2023-07-01 03:00,0.0,82,21.5
2023-07-01 04:00,0.0,82,21.4
2023-07-01 05:00,0.0,82,21.2
2023-07-01 06:00,0.0,82,21.1
2023-07-01 07:00,0.0,81,21.2
2023-07-01 08:00,0.0,78,21.7
2023-07-01 09:00,0.1,68,23.7
2023-07-01 10:00,0.1,57,26.0
2023-07-01 11:00,0.0,50,27.7
2023-07-01 12:00,0.0,46,29.7
2023-07-01 13:00,0.0,45,29.9
2023-07-01 14:00,0.0,44,29.9
2023-07-01 15:00,0.0,49,28.6
2023-07-01 16:00,0.0,55,27.3
2023-07-01 17:00,0.0,60,26.4
2023-07-01 18:00,0.0,61,25.8
2023-07-01 19:00,0.0,66,25.5
2023-07-01 20:00,0.0,68,24.4
2023-07-01 21:00,0.0,71,23.8
2023-07-01 22:00,0.0,73,23.4
2023-07-01 23:00,0.0,74,23.2
2023-07-02 00:00,0.2,73,23.3
2023-07-02 01:00,0.2,73,23.1
2023-07-02 02:00,0.2,73,22.8
2023-07-02 03:00,0.3,72,22.7
2023-07-02 04:00,0.3,73,22.4
