time,rainfall,humidity,temperature
2024-05-27 00:00,0.0,82,22.5
2024-05-27 01:00,0.0,82,22.3
2024-05-27 02:00,0.0,81,22.2
2024-05-27 03:00,0.0,83,22.0
2024-05-27 04:00,0.0,85,21.8
2024-05-27 05:00,0.0,88,21.6
2024-05-27 06:00,0.0,89,21.7
2024-05-27 07:00,0.0,82,22.7
2024-05-27 08:00,0.0,70,24.5
2024-05-27 09:00,0.0,62,25.9
2024-05-27 10:00,0.0,59,26.2
2024-05-27 11:00,0.0,58,26.2
2024-05-27 12:00,0.0,54,26.9
2024-05-27 13:00,0.0,50,27.7
2024-05-27 14:00,0.0,45,29.0
2024-05-27 15:00,0.0,43,29.7
2024-05-27 16:00,0.0,49,28.7
2024-05-27 17:00,0.0,54,27.7
2024-05-27 18:00,0.0,57,27.0
2024-05-27 19:00,0.0,59,26.6
2024-05-27 20:00,0.0,64,25.6
2024-05-27 21:00,0.0,69,25.0
2024-05-27 22:00,0.0,74,24.3
2024-05-27 23:00,0.0,79,23.7
2024-05-28 00:00,0.0,70,23.1
2024-05-28 01:00,0.0,70,22.8
2024-05-28 02:00,0.0,72,22.5
2024-05-28 03:00,0.0,73,22.3
2024-05-28 04:00,0.0,74,22.2
2024-05-28 05:00,0.0,74,22.0
2024-05-28 06:00,0.0,72,22.1
2024-05-28 07:00,0.0,67,22.6
2024-05-28 08:00,0.0,59,24.2
2024-05-28 09:00,0.0,51,26.1
2024-05-28 10:00,0.0,44,28.0
2024-05-28 11:00,0.0,40,29.6
2024-05-28 12:00,0.0,38,30.7
2024-05-28 13:00,0.0,37,31.0
2024-05-28 14:00,0.0,38,30.9
2024-05-28 15:00,0.0,40,30.1
2024-05-28 16:00,0.0,44,29.0
2024-05-28 17:00,0.0,48,28.6
2024-05-28 18:00,0.05,56,28.0
2024-05-28 19:00,0.0,64,27.4
2024-05-28 20:00,0.21,70,26.4
2024-05-28 21:00,0.72,73,25.6
2024-05-28 22:00,0.0,78,24.7
2024-05-28 23:00,0.0,80,24.3
2024-05-29 00:00,0.0,77,23.8
2024-05-29 01:00,0.0,79,23.2
2024-05-29 02:00,0.0,80,22.9
2024-05-29 03:00,0.0,81,22.6
2024-05-29 04:00,0.0,82,22.3
2024-05-29 05:00,0.0,83,22.1
2024-05-29 06:00,0.0,83,22.2
2024-05-29 07:00,0.0,77,22.8
2024-05-29 08:00,0.0,68,24.6
2024-05-29 09:00,0.0,61,26.2
2024-05-29 10:00,0.0,54,27.7
2024-05-29 11:00,0.0,48,29.1
2024-05-29 12:00,0.0,42,30.7
2024-05-29 13:00,0.0,38,32.2
2024-05-29 14:00,0.0,36,32.9
2024-05-29 15:00,0.0,35,33.2
2024-05-29 16:00,0.0,35,33.1
2024-05-29 17:00,0.0,37,32.4
2024-05-29 18:00,0.0,43,30.9
2024-05-29 19:00,0.0,48,30.1
2024-05-29 20:00,0.09,55,28.9
2024-05-29 21:00,0.0,65,27.1
2024-05-29 22:00,0.0,71,26.1
2024-05-29 23:00,0.0,75,25.2
2024-05-30 00:00,2.32,81,24.6
2024-05-30 01:00,1.28,86,23.7
2024-05-30 02:00,0.74,86,23.7
2024-05-30 03:00,0.15,82,23.9
2024-05-30 04:00,0.0,81,24.2
2024-05-30 05:00,0.0,82,24.0
2024-05-30 06:00,0.0,85,23.7
2024-05-30 07:00,0.0,82,23.9
2024-05-30 08:00,0.0,75,25.3
2024-05-30 09:00,0.0,68,26.7
2024-05-30 10:00,0.0,61,28.3
2024-05-30 11:00,0.0,55,29.6
2024-05-30 12:00,0.0,49,30.9
2024-05-30 13:00,0.0,45,32.0
2024-05-30 14:00,0.0,42,32.7
2024-05-30 15:00,0.02,40,32.6
2024-05-30 16:00,0.0,42,31.9
2024-05-30 17:00,0.0,43,31.6
2024-05-30 18:00,0.02,46,30.9
2024-05-30 19:00,0.23,53,29.7
2024-05-30 20:00,0.91,64,27.5
2024-05-30 21:00,2.84,70,26.4
2024-05-30 22:00,5.26,77,25.2
2024-05-30 23:00,8.39,84,24.0
2024-05-31 00:00,0.01,80,24.6
2024-05-31 01:00,0.0,83,24.0
2024-05-31 02:00,0.0,84,23.7
2024-05-31 03:00,0.0,85,23.5
2024-05-31 04:00,0.0,86,23.2
2024-05-31 05:00,0.0,87,23.0
2024-05-31 06:00,0.0,86,23.1
2024-05-31 07:00,0.0,78,23.9
2024-05-31 08:00,0.0,69,25.7
2024-05-31 09:00,0.0,61,27.6
2024-05-31 10:00,0.0,53,29.6
2024-05-31 11:00,0.0,47,31.2
2024-05-31 12:00,0.0,43,32.4
2024-05-31 13:00,0.0,41,33.1
2024-05-31 14:00,0.0,39,33.4
2024-05-31 15:00,0.0,38,33.6
2024-05-31 16:00,0.0,38,33.3
2024-05-31 17:00,0.0,40,32.7
2024-05-31 18:00,0.35,45,31.5
2024-05-31 19:00,0.69,54,29.7
2024-05-31 20:00,0.81,63,28.2
2024-05-31 21:00,0.99,69,26.6
2024-05-31 22:00,0.03,70,26.1
2024-05-31 23:00,0.75,74,25.5
